timestamp,cpu_usr,cpu_sys,cpu_iow,cpu_idle,mem_used_mb,mem_free_mb,net_rx_kbps,net_tx_kbps,ast_channels,ast_endpoints_online
1780426721,0,0,0,0,0,0,100,0,276,1697,0,0,0,1
1780426722,0,0,0,0,0,0,100,0,276,1697,0,0,0,1
1780426723,0,0,0,0,0,0,100,0,277,1696,0,0,0,1
1780426724,0,3,0,0,0,0,99,7,277,1696,0,0,0,1
1780426725,0,3,0,0,0,0,99,7,277,1696,0,0,0,1
1780426726,0,3,0,0,0,0,99,7,278,1695,0,0,0,1
1780426727,0,3,0,5,0,0,99,0,278,1695,0,0,0,1
1780426728,0,0,0,0,0,0,99,7,278,1695,0,0,0,1
1780426729,0,0,0,0,0,0,100,0,278,1695,0,0,0,1
1780426730,0,0,0,3,0,0,99,7,278,1695,0,0,0,1
1780426731,0,0,0,0,0,0,100,0,279,1694,0,0,0,1
1780426732,0,0,0,0,0,0,99,7,279,1694,0,0,0,1
1780426733,0,0,0,3,0,0,99,5,280,1693,0,0,0,1
1780426734,0,0,0,0,0,0,100,0,280,1693,0,0,0,1
1780426735,0,0,0,0,0,0,100,0,280,1693,0,0,0,1
1780426736,0,3,0,5,0,0,99,2,280,1693,0,0,0,1
1780426737,0,0,0,0,0,0,99,7,280,1693,0,0,0,1
1780426738,0,0,0,5,0,0,99,5,280,1693,0,0,0,1
1780426739,0,0,0,0,0,0,100,0,280,1693,0,0,0,1
1780426740,0,0,0,0,0,0,100,0,281,1693,0,0,0,1
1780426741,0,0,0,3,0,0,99,7,281,1692,0,0,0,1
1780426742,0,0,0,0,0,0,100,0,281,1692,0,0,0,1
1780426744,0,0,0,3,0,0,99,5,281,1692,0,0,0,1
1780426745,0,3,0,3,0,0,99,5,281,1692,0,0,0,1
1780426746,0,0,0,8,0,0,99,2,275,1698,0,0,0,1
1780426747,0,0,0,3,0,0,99,7,277,1697,0,0,0,1
1780426748,0,3,0,0,0,3,99,5,276,1697,0,0,0,1
1780426749,0,0,0,0,0,0,100,0,277,1696,0,0,0,1
1780426750,0,0,0,3,0,3,99,2,277,1696,0,0,0,1
1780426751,0,0,0,3,0,0,99,7,277,1696,0,0,0,1
1780426752,0,3,0,3,0,0,99,5,276,1697,0,0,0,1
1780426753,0,0,0,3,0,0,99,7,276,1697,0,0,0,1
1780426754,0,0,0,0,0,0,100,0,276,1698,0,0,0,1
1780426755,0,0,0,5,0,0,99,5,280,1693,0,0,0,1
1780426756,0,0,0,0,0,0,100,0,282,1692,0,0,0,1
1780426757,0,0,0,3,0,0,99,7,282,1692,0,0,0,1
1780426758,0,0,0,0,0,0,100,0,282,1691,0,0,0,1
1780426759,0,0,0,0,0,0,99,7,283,1690,0,0,0,1
1780426760,0,3,0,0,0,0,99,7,284,1689,0,0,0,1
1780426761,0,0,0,0,0,0,100,0,283,1690,0,0,0,1
1780426762,0,0,0,3,0,0,99,7,283,1690,0,0,0,1
1780426763,0,0,0,0,0,0,100,0,283,1690,0,0,0,1
1780426765,0,0,0,0,0,0,100,0,283,1690,0,0,0,1
1780426766,0,0,0,0,0,0,100,0,283,1690,0,0,0,1
1780426767,0,0,0,0,0,0,100,0,283,1690,0,0,0,1
1780426768,0,0,0,0,0,0,100,0,283,1690,0,0,0,1
1780426769,0,0,0,0,0,0,100,0,283,1690,0,0,0,1
1780426770,0,0,0,3,0,0,99,7,283,1690,0,0,0,1
1780426771,0,2,0,0,0,0,99,8,283,1690,0,0,0,1
1780426772,0,3,0,3,0,0,99,5,284,1689,0,0,0,1
1780426773,0,0,0,3,0,0,99,7,284,1689,0,0,0,1
1780426774,0,0,0,0,0,0,99,7,285,1688,0,0,0,1
1780426775,0,0,0,3,0,0,99,7,285,1688,0,0,0,1
1780426776,0,0,0,0,0,0,100,0,285,1688,0,0,0,1
1780426777,0,0,0,0,0,0,100,0,285,1688,0,0,0,1
1780426778,0,0,0,0,0,0,100,0,285,1688,0,0,0,1
1780426779,0,0,0,0,0,0,100,0,285,1688,0,0,0,1
