StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);FailedTestDoesntMatch(P);FailedTestDoesntMatch(C);FailedTestShouldntMatch(P);FailedTestShouldntMatch(C);FailedStrcmpDoesntMatch(P);FailedStrcmpDoesntMatch(C);FailedStrcmpShouldntMatch(P);FailedStrcmpShouldntMatch(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;ResponseTimeRepartition1_<10;ResponseTimeRepartition1_<20;ResponseTimeRepartition1_<50;ResponseTimeRepartition1_<100;ResponseTimeRepartition1_<200;ResponseTimeRepartition1_<500;ResponseTimeRepartition1_<1000;ResponseTimeRepartition1_<2000;ResponseTimeRepartition1_>=2000;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_<5000;CallLengthRepartition_<10000;CallLengthRepartition_<30000;CallLengthRepartition_>=30000;
2026-06-02	14:13:35.852399	1780427615.852399;2026-06-02	14:13:35.852399	1780427615.852399;2026-06-02	14:13:35.854165	1780427615.854165;00:00:00;00:00:00;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;
2026-06-02	14:13:35.852399	1780427615.852399;2026-06-02	14:13:35.854301	1780427615.854301;2026-06-02	14:13:36.859059	1780427616.859059;00:00:01;00:00:01;40;38.8446;38.7674;0;0;39;39;39;0;39;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:006000;00:00:00:006000;00:00:00:002000;00:00:00:002000;00:00:00:013000;00:00:00:013000;00:00:00:004000;00:00:00:004000;;36;3;0;0;0;0;0;0;0;;8;31;0;0;0;0;0;0;0;
2026-06-02	14:13:35.852399	1780427615.852399;2026-06-02	14:13:36.859163	1780427616.859163;2026-06-02	14:13:37.864833	1780427617.864833;00:00:01;00:00:02;40;40.796;39.7614;0;0;41;80;80;1;40;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:006000;00:00:00:006000;00:00:00:002000;00:00:00:002000;00:00:00:014000;00:00:00:013000;00:00:00:003000;00:00:00:003000;;74;5;0;0;0;0;0;0;0;;10;69;0;0;0;0;0;0;0;
2026-06-02	14:13:35.852399	1780427615.852399;2026-06-02	14:13:37.864918	1780427617.864918;2026-06-02	14:13:38.867626	1780427618.867626;00:00:01;00:00:03;40;39.9202;39.801;0;0;40;120;120;1;40;119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:006000;00:00:00:006000;00:00:00:002000;00:00:00:002000;00:00:00:014000;00:00:00:014000;00:00:00:003000;00:00:00:003000;;113;6;0;0;0;0;0;0;0;;12;107;0;0;0;0;0;0;0;
2026-06-02	14:13:35.852399	1780427615.852399;2026-06-02	14:13:38.867708	1780427618.867708;2026-06-02	14:13:39.871802	1780427619.871802;00:00:01;00:00:04;40;39.8406;39.8109;0;0;40;160;160;1;40;159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:006000;00:00:00:006000;00:00:00:002000;00:00:00:002000;00:00:00:013000;00:00:00:014000;00:00:00:003000;00:00:00:003000;;149;11;0;0;0;0;0;0;0;;17;142;0;0;0;0;0;0;0;
2026-06-02	14:13:35.852399	1780427615.852399;2026-06-02	14:13:39.871900	1780427619.871900;2026-06-02	14:13:40.873742	1780427620.873742;00:00:01;00:00:05;40;39.96;39.8327;0;0;40;200;200;1;40;199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:006000;00:00:00:006000;00:00:00:003000;00:00:00:002000;00:00:00:014000;00:00:00:014000;00:00:00:003000;00:00:00:003000;;185;15;0;0;0;0;0;0;0;;20;179;0;0;0;0;0;0;0;
2026-06-02	14:13:35.852399	1780427615.852399;2026-06-02	14:13:40.873805	1780427620.873805;2026-06-02	14:13:41.881579	1780427621.881579;00:00:01;00:00:06;40;39.7219;39.8076;0;0;40;240;240;0;41;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:006000;00:00:00:006000;00:00:00:002000;00:00:00:002000;00:00:00:013000;00:00:00:013000;00:00:00:002000;00:00:00:003000;;224;16;0;0;0;0;0;0;0;;23;217;0;0;0;0;0;0;0;
2026-06-02	14:13:35.852399	1780427615.852399;2026-06-02	14:13:41.881659	1780427621.881659;2026-06-02	14:13:42.883862	1780427622.883862;00:00:01;00:00:07;40;39.9202;39.8236;0;0;40;280;280;0;40;280;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:006000;00:00:00:002000;00:00:00:002000;00:00:00:013000;00:00:00:013000;00:00:00:003000;00:00:00:003000;;263;17;0;0;0;0;0;0;0;;27;253;0;0;0;0;0;0;0;
2026-06-02	14:13:35.852399	1780427615.852399;2026-06-02	14:13:42.884025	1780427622.884025;2026-06-02	14:13:43.883984	1780427623.883984;00:00:00;00:00:08;40;41.041;39.9701;0;0;41;321;321;1;40;320;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:006000;00:00:00:002000;00:00:00:002000;00:00:00:012000;00:00:00:013000;00:00:00:003000;00:00:00:003000;;302;18;0;0;0;0;0;0;0;;35;285;0;0;0;0;0;0;0;
2026-06-02	14:13:35.852399	1780427615.852399;2026-06-02	14:13:43.884082	1780427623.884082;2026-06-02	14:13:44.891635	1780427624.891635;00:00:01;00:00:09;40;39.7219;39.938;0;0;40;361;361;1;40;360;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:006000;00:00:00:002000;00:00:00:002000;00:00:00:012000;00:00:00:013000;00:00:00:002000;00:00:00:003000;;343;18;0;0;0;0;0;0;0;;42;318;0;0;0;0;0;0;0;
