StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);FailedTestDoesntMatch(P);FailedTestDoesntMatch(C);FailedTestShouldntMatch(P);FailedTestShouldntMatch(C);FailedStrcmpDoesntMatch(P);FailedStrcmpDoesntMatch(C);FailedStrcmpShouldntMatch(P);FailedStrcmpShouldntMatch(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;ResponseTimeRepartition1_<10;ResponseTimeRepartition1_<20;ResponseTimeRepartition1_<50;ResponseTimeRepartition1_<100;ResponseTimeRepartition1_<200;ResponseTimeRepartition1_<500;ResponseTimeRepartition1_<1000;ResponseTimeRepartition1_<2000;ResponseTimeRepartition1_>=2000;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_<5000;CallLengthRepartition_<10000;CallLengthRepartition_<30000;CallLengthRepartition_>=30000;
2026-06-02	14:09:15.728116	1780427355.728116;2026-06-02	14:09:15.728116	1780427355.728116;2026-06-02	14:09:15.729396	1780427355.729396;00:00:00;00:00:00;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;
2026-06-02	14:09:15.728116	1780427355.728116;2026-06-02	14:09:15.729519	1780427355.729519;2026-06-02	14:09:16.732267	1780427356.732267;00:00:01;00:00:01;25;23.9521;23.9044;0;0;24;24;24;0;24;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:007000;00:00:00:007000;00:00:00:002000;00:00:00:002000;00:00:00:013000;00:00:00:013000;00:00:00:002000;00:00:00:002000;;23;1;0;0;0;0;0;0;0;;1;23;0;0;0;0;0;0;0;
2026-06-02	14:09:15.728116	1780427355.728116;2026-06-02	14:09:16.732352	1780427356.732352;2026-06-02	14:09:17.739452	1780427357.739452;00:00:01;00:00:02;25;25.8193;24.8633;0;0;26;50;50;1;25;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:006000;00:00:00:002000;00:00:00:002000;00:00:00:012000;00:00:00:012000;00:00:00:002000;00:00:00:002000;;48;1;0;0;0;0;0;0;0;;4;45;0;0;0;0;0;0;0;
2026-06-02	14:09:15.728116	1780427355.728116;2026-06-02	14:09:17.739524	1780427357.739524;2026-06-02	14:09:18.743819	1780427358.743819;00:00:01;00:00:03;25;24.9004;24.8756;0;0;25;75;75;1;25;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:006000;00:00:00:002000;00:00:00:002000;00:00:00:013000;00:00:00:012000;00:00:00:003000;00:00:00:002000;;74;1;0;0;0;0;0;0;0;;8;66;0;0;0;0;0;0;0;
2026-06-02	14:09:15.728116	1780427355.728116;2026-06-02	14:09:18.743887	1780427358.743887;2026-06-02	14:09:19.747120	1780427359.747120;00:00:01;00:00:04;25;24.9252;24.8818;0;0;25;100;100;0;26;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:006000;00:00:00:006000;00:00:00:002000;00:00:00:002000;00:00:00:012000;00:00:00:012000;00:00:00:002000;00:00:00:002000;;99;1;0;0;0;0;0;0;0;;13;87;0;0;0;0;0;0;0;
2026-06-02	14:09:15.728116	1780427355.728116;2026-06-02	14:09:19.747231	1780427359.747231;2026-06-02	14:09:20.752331	1780427360.752331;00:00:01;00:00:05;25;24.8756;24.8806;0;0;25;125;125;0;25;125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:006000;00:00:00:006000;00:00:00:002000;00:00:00:002000;00:00:00:012000;00:00:00:012000;00:00:00:002000;00:00:00:002000;;123;2;0;0;0;0;0;0;0;;15;110;0;0;0;0;0;0;0;
2026-06-02	14:09:15.728116	1780427355.728116;2026-06-02	14:09:20.752391	1780427360.752391;2026-06-02	14:09:21.756918	1780427361.756918;00:00:01;00:00:06;25;24.9004;24.8839;0;0;25;150;150;0;25;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:006000;00:00:00:002000;00:00:00:002000;00:00:00:012000;00:00:00:012000;00:00:00:002000;00:00:00:002000;;148;2;0;0;0;0;0;0;0;;19;131;0;0;0;0;0;0;0;
2026-06-02	14:09:15.728116	1780427355.728116;2026-06-02	14:09:21.757006	1780427361.757006;2026-06-02	14:09:22.761226	1780427362.761226;00:00:01;00:00:07;25;24.9004;24.8827;0;0;25;175;175;0;25;175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:006000;00:00:00:002000;00:00:00:002000;00:00:00:012000;00:00:00:012000;00:00:00:002000;00:00:00:002000;;173;2;0;0;0;0;0;0;0;;21;154;0;0;0;0;0;0;0;
2026-06-02	14:09:15.728116	1780427355.728116;2026-06-02	14:09:22.761294	1780427362.761294;2026-06-02	14:09:23.764953	1780427363.764953;00:00:01;00:00:08;25;24.9252;24.888;0;0;25;200;200;0;25;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:006000;00:00:00:006000;00:00:00:002000;00:00:00:002000;00:00:00:012000;00:00:00:012000;00:00:00:002000;00:00:00:002000;;198;2;0;0;0;0;0;0;0;;24;176;0;0;0;0;0;0;0;
2026-06-02	14:09:15.728116	1780427355.728116;2026-06-02	14:09:23.765024	1780427363.765024;2026-06-02	14:09:24.768455	1780427364.768455;00:00:01;00:00:09;25;24.9252;24.8894;0;0;25;225;225;0;25;225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:006000;00:00:00:002000;00:00:00:002000;00:00:00:013000;00:00:00:012000;00:00:00:003000;00:00:00:002000;;222;3;0;0;0;0;0;0;0;;28;197;0;0;0;0;0;0;0;
