StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);FailedTestDoesntMatch(P);FailedTestDoesntMatch(C);FailedTestShouldntMatch(P);FailedTestShouldntMatch(C);FailedStrcmpDoesntMatch(P);FailedStrcmpDoesntMatch(C);FailedStrcmpShouldntMatch(P);FailedStrcmpShouldntMatch(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;ResponseTimeRepartition1_<10;ResponseTimeRepartition1_<20;ResponseTimeRepartition1_<50;ResponseTimeRepartition1_<100;ResponseTimeRepartition1_<200;ResponseTimeRepartition1_<500;ResponseTimeRepartition1_<1000;ResponseTimeRepartition1_<2000;ResponseTimeRepartition1_>=2000;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_<5000;CallLengthRepartition_<10000;CallLengthRepartition_<30000;CallLengthRepartition_>=30000;
2026-06-02	15:12:48.579480	1780431168.579480;2026-06-02	15:12:48.579480	1780431168.579480;2026-06-02	15:12:48.580552	1780431168.580552;00:00:00;00:00:00;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;
2026-06-02	15:12:48.579480	1780431168.579480;2026-06-02	15:12:48.580768	1780431168.580768;2026-06-02	15:12:49.588072	1780431169.588072;00:00:01;00:00:01;5;4.96524;4.96032;0;0;5;5;5;1;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:009000;00:00:00:009000;00:00:00:002000;00:00:00:002000;00:00:00:014000;00:00:00:014000;00:00:00:002000;00:00:00:002000;;3;1;0;0;0;0;0;0;0;;0;4;0;0;0;0;0;0;0;
2026-06-02	15:12:48.579480	1780431168.579480;2026-06-02	15:12:49.588239	1780431169.588239;2026-06-02	15:12:50.591599	1780431170.591599;00:00:01;00:00:02;5;4.98504;4.97018;0;0;5;10;10;1;5;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:007000;00:00:00:008000;00:00:00:001000;00:00:00:002000;00:00:00:013000;00:00:00:013000;00:00:00:003000;00:00:00:002000;;8;1;0;0;0;0;0;0;0;;1;8;0;0;0;0;0;0;0;
2026-06-02	15:12:48.579480	1780431168.579480;2026-06-02	15:12:50.591668	1780431170.591668;2026-06-02	15:12:51.595124	1780431171.595124;00:00:01;00:00:03;5;4.98504;4.97512;0;0;5;15;15;0;6;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:006000;00:00:00:007000;00:00:00:002000;00:00:00:002000;00:00:00:013000;00:00:00:013000;00:00:00:004000;00:00:00:003000;;14;1;0;0;0;0;0;0;0;;2;13;0;0;0;0;0;0;0;
2026-06-02	15:12:48.579480	1780431168.579480;2026-06-02	15:12:51.595212	1780431171.595212;2026-06-02	15:12:52.600467	1780431172.600467;00:00:01;00:00:04;5;4.97512;4.97512;0;0;5;20;20;0;5;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:006000;00:00:00:002000;00:00:00:002000;00:00:00:012000;00:00:00:013000;00:00:00:004000;00:00:00:003000;;19;1;0;0;0;0;0;0;0;;3;17;0;0;0;0;0;0;0;
2026-06-02	15:12:48.579480	1780431168.579480;2026-06-02	15:12:52.600573	1780431172.600573;2026-06-02	15:12:53.606193	1780431173.606193;00:00:01;00:00:05;5;4.97512;4.97413;0;0;5;25;25;0;5;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:004000;00:00:00:006000;00:00:00:003000;00:00:00:002000;00:00:00:013000;00:00:00:013000;00:00:00:003000;00:00:00:003000;;24;1;0;0;0;0;0;0;0;;4;21;0;0;0;0;0;0;0;
2026-06-02	15:12:48.579480	1780431168.579480;2026-06-02	15:12:53.606241	1780431173.606241;2026-06-02	15:12:54.612853	1780431174.612853;00:00:01;00:00:06;5;4.97018;4.97265;0;0;5;30;30;0;5;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:007000;00:00:00:006000;00:00:00:001000;00:00:00:002000;00:00:00:014000;00:00:00:013000;00:00:00:003000;00:00:00:003000;;29;1;0;0;0;0;0;0;0;;4;26;0;0;0;0;0;0;0;
2026-06-02	15:12:48.579480	1780431168.579480;2026-06-02	15:12:54.612908	1780431174.612908;2026-06-02	15:12:55.615511	1780431175.615511;00:00:01;00:00:07;5;4.99002;4.97442;0;0;5;35;35;0;5;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:007000;00:00:00:006000;00:00:00:001000;00:00:00:002000;00:00:00:013000;00:00:00:013000;00:00:00:003000;00:00:00:003000;;34;1;0;0;0;0;0;0;0;;5;30;0;0;0;0;0;0;0;
2026-06-02	15:12:48.579480	1780431168.579480;2026-06-02	15:12:55.615630	1780431175.615630;2026-06-02	15:12:56.621009	1780431176.621009;00:00:01;00:00:08;5;4.97512;4.97451;0;0;5;40;40;0;5;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:008000;00:00:00:006000;00:00:00:000000;00:00:00:002000;00:00:00:012000;00:00:00:013000;00:00:00:000000;00:00:00:003000;;39;1;0;0;0;0;0;0;0;;5;35;0;0;0;0;0;0;0;
2026-06-02	15:12:48.579480	1780431168.579480;2026-06-02	15:12:56.621102	1780431176.621102;2026-06-02	15:12:57.623100	1780431177.623100;00:00:01;00:00:09;5;4.99501;4.97622;0;0;5;45;45;0;5;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:003000;00:00:00:006000;00:00:00:001000;00:00:00:002000;00:00:00:012000;00:00:00:013000;00:00:00:003000;00:00:00:003000;;44;1;0;0;0;0;0;0;0;;6;39;0;0;0;0;0;0;0;
