StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);FailedTestDoesntMatch(P);FailedTestDoesntMatch(C);FailedTestShouldntMatch(P);FailedTestShouldntMatch(C);FailedStrcmpDoesntMatch(P);FailedStrcmpDoesntMatch(C);FailedStrcmpShouldntMatch(P);FailedStrcmpShouldntMatch(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;ResponseTimeRepartition1_<10;ResponseTimeRepartition1_<20;ResponseTimeRepartition1_<50;ResponseTimeRepartition1_<100;ResponseTimeRepartition1_<200;ResponseTimeRepartition1_<500;ResponseTimeRepartition1_<1000;ResponseTimeRepartition1_<2000;ResponseTimeRepartition1_>=2000;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_<5000;CallLengthRepartition_<10000;CallLengthRepartition_<30000;CallLengthRepartition_>=30000;
2026-06-02	15:19:18.706920	1780431558.706920;2026-06-02	15:19:18.706920	1780431558.706920;2026-06-02	15:19:18.708956	1780431558.708956;00:00:00;00:00:00;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;
2026-06-02	15:19:18.706920	1780431558.706920;2026-06-02	15:19:18.709168	1780431558.709168;2026-06-02	15:19:19.709384	1780431559.709384;00:00:01;00:00:01;20;19;18.9621;0;0;19;19;19;0;19;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:004000;00:00:00:004000;00:00:00:002000;00:00:00:002000;00:00:00:013000;00:00:00:013000;00:00:00:002000;00:00:00:002000;;19;0;0;0;0;0;0;0;0;;1;18;0;0;0;0;0;0;0;
2026-06-02	15:19:18.706920	1780431558.706920;2026-06-02	15:19:19.709480	1780431559.709480;2026-06-02	15:19:20.715897	1780431560.715897;00:00:01;00:00:02;20;20.8748;19.9203;0;0;21;40;40;1;20;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:004000;00:00:00:002000;00:00:00:002000;00:00:00:012000;00:00:00:012000;00:00:00:003000;00:00:00:002000;;38;1;0;0;0;0;0;0;0;;5;34;0;0;0;0;0;0;0;
2026-06-02	15:19:18.706920	1780431558.706920;2026-06-02	15:19:20.715966	1780431560.715966;2026-06-02	15:19:21.720081	1780431561.720081;00:00:01;00:00:03;20;19.9203;19.9137;0;0;20;60;60;1;20;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:004000;00:00:00:004000;00:00:00:002000;00:00:00:002000;00:00:00:012000;00:00:00:012000;00:00:00:003000;00:00:00:002000;;59;1;0;0;0;0;0;0;0;;8;51;0;0;0;0;0;0;0;
2026-06-02	15:19:18.706920	1780431558.706920;2026-06-02	15:19:21.720156	1780431561.720156;2026-06-02	15:19:22.720502	1780431562.720502;00:00:01;00:00:04;20;20;19.9352;0;0;20;80;80;1;20;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:004000;00:00:00:002000;00:00:00:002000;00:00:00:012000;00:00:00:012000;00:00:00:003000;00:00:00:003000;;78;1;0;0;0;0;0;0;0;;12;67;0;0;0;0;0;0;0;
2026-06-02	15:19:18.706920	1780431558.706920;2026-06-02	15:19:22.720580	1780431562.720580;2026-06-02	15:19:23.729294	1780431563.729294;00:00:01;00:00:05;20;19.8413;19.9124;0;0;20;100;100;1;20;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:004000;00:00:00:004000;00:00:00:001000;00:00:00:002000;00:00:00:012000;00:00:00:012000;00:00:00:002000;00:00:00:003000;;99;1;0;0;0;0;0;0;0;;16;83;0;0;0;0;0;0;0;
2026-06-02	15:19:18.706920	1780431558.706920;2026-06-02	15:19:23.729375	1780431563.729375;2026-06-02	15:19:24.735331	1780431564.735331;00:00:01;00:00:06;20;19.9005;19.9071;0;0;20;120;120;0;21;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:004000;00:00:00:001000;00:00:00:002000;00:00:00:012000;00:00:00:012000;00:00:00:003000;00:00:00:003000;;119;1;0;0;0;0;0;0;0;;23;97;0;0;0;0;0;0;0;
2026-06-02	15:19:18.706920	1780431558.706920;2026-06-02	15:19:24.735379	1780431564.735379;2026-06-02	15:19:25.739014	1780431565.739014;00:00:01;00:00:07;20;19.9402;19.909;0;0;20;140;140;0;20;140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:004000;00:00:00:002000;00:00:00:002000;00:00:00:012000;00:00:00:012000;00:00:00:002000;00:00:00:003000;;139;1;0;0;0;0;0;0;0;;28;112;0;0;0;0;0;0;0;
2026-06-02	15:19:18.706920	1780431558.706920;2026-06-02	15:19:25.739086	1780431565.739086;2026-06-02	15:19:26.741077	1780431566.741077;00:00:01;00:00:08;20;19.98;19.9154;0;0;20;160;160;0;20;160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:004000;00:00:00:004000;00:00:00:003000;00:00:00:002000;00:00:00:011000;00:00:00:012000;00:00:00:003000;00:00:00:003000;;158;2;0;0;0;0;0;0;0;;36;124;0;0;0;0;0;0;0;
2026-06-02	15:19:18.706920	1780431558.706920;2026-06-02	15:19:26.741151	1780431566.741151;2026-06-02	15:19:27.748808	1780431567.748808;00:00:01;00:00:09;20;19.861;19.9093;0;0;20;180;180;0;20;180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:004000;00:00:00:004000;00:00:00:002000;00:00:00:002000;00:00:00:012000;00:00:00:012000;00:00:00:003000;00:00:00:003000;;178;2;0;0;0;0;0;0;0;;40;140;0;0;0;0;0;0;0;
2026-06-02	15:19:18.706920	1780431558.706920;2026-06-02	15:19:27.748890	1780431567.748890;2026-06-02	15:19:28.755802	1780431568.755802;00:00:01;00:00:10;20;19.8807;19.9045;0;0;20;200;200;0;20;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:004000;00:00:00:004000;00:00:00:002000;00:00:00:002000;00:00:00:011000;00:00:00:012000;00:00:00:003000;00:00:00:003000;;198;2;0;0;0;0;0;0;0;;48;152;0;0;0;0;0;0;0;
2026-06-02	15:19:18.706920	1780431558.706920;2026-06-02	15:19:28.755889	1780431568.755889;2026-06-02	15:19:29.759420	1780431569.759420;00:00:01;00:00:11;20;19.9402;19.9059;0;0;20;220;220;0;20;220;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:004000;00:00:00:001000;00:00:00:002000;00:00:00:011000;00:00:00:012000;00:00:00:003000;00:00:00:003000;;218;2;0;0;0;0;0;0;0;;57;163;0;0;0;0;0;0;0;
2026-06-02	15:19:18.706920	1780431558.706920;2026-06-02	15:19:29.759543	1780431569.759543;2026-06-02	15:19:30.763232	1780431570.763232;00:00:01;00:00:12;20;20.9372;19.99;0;0;21;241;241;1;20;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:004000;00:00:00:002000;00:00:00:002000;00:00:00:013000;00:00:00:012000;00:00:00:003000;00:00:00:003000;;238;2;0;0;0;0;0;0;0;;59;181;0;0;0;0;0;0;0;
2026-06-02	15:19:18.706920	1780431558.706920;2026-06-02	15:19:30.763289	1780431570.763289;2026-06-02	15:19:31.767250	1780431571.767250;00:00:01;00:00:13;20;19.9402;19.9847;0;0;20;261;261;1;20;260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:004000;00:00:00:002000;00:00:00:002000;00:00:00:012000;00:00:00:012000;00:00:00:003000;00:00:00:003000;;259;2;0;0;0;0;0;0;0;;64;196;0;0;0;0;0;0;0;
2026-06-02	15:19:18.706920	1780431558.706920;2026-06-02	15:19:31.767377	1780431571.767377;2026-06-02	15:19:32.772365	1780431572.772365;00:00:01;00:00:14;20;19.9203;19.9787;0;0;20;281;281;1;20;280;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:004000;00:00:00:002000;00:00:00:002000;00:00:00:012000;00:00:00:012000;00:00:00:002000;00:00:00:003000;;279;2;0;0;0;0;0;0;0;;67;213;0;0;0;0;0;0;0;
