StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);FailedTestDoesntMatch(P);FailedTestDoesntMatch(C);FailedTestShouldntMatch(P);FailedTestShouldntMatch(C);FailedStrcmpDoesntMatch(P);FailedStrcmpDoesntMatch(C);FailedStrcmpShouldntMatch(P);FailedStrcmpShouldntMatch(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;ResponseTimeRepartition1_<10;ResponseTimeRepartition1_<20;ResponseTimeRepartition1_<50;ResponseTimeRepartition1_<100;ResponseTimeRepartition1_<200;ResponseTimeRepartition1_<500;ResponseTimeRepartition1_<1000;ResponseTimeRepartition1_<2000;ResponseTimeRepartition1_>=2000;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_<5000;CallLengthRepartition_<10000;CallLengthRepartition_<30000;CallLengthRepartition_>=30000;
2026-06-02	15:14:58.620739	1780431298.620739;2026-06-02	15:14:58.620739	1780431298.620739;2026-06-02	15:14:58.622206	1780431298.622206;00:00:00;00:00:00;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;
2026-06-02	15:14:58.620739	1780431298.620739;2026-06-02	15:14:58.622605	1780431298.622605;2026-06-02	15:14:59.624059	1780431299.624059;00:00:01;00:00:01;10;8.99101;8.97308;0;0;9;9;9;0;9;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:006000;00:00:00:006000;00:00:00:002000;00:00:00:002000;00:00:00:012000;00:00:00:012000;00:00:00:003000;00:00:00:003000;;9;0;0;0;0;0;0;0;0;;2;7;0;0;0;0;0;0;0;
2026-06-02	15:14:58.620739	1780431298.620739;2026-06-02	15:14:59.624198	1780431299.624198;2026-06-02	15:15:00.631335	1780431300.631335;00:00:01;00:00:02;10;10.9235;9.95025;0;0;11;20;20;1;10;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:006000;00:00:00:003000;00:00:00:002000;00:00:00:014000;00:00:00:013000;00:00:00:003000;00:00:00:003000;;19;1;0;0;0;0;0;0;0;;4;15;0;0;0;0;0;0;0;
2026-06-02	15:14:58.620739	1780431298.620739;2026-06-02	15:15:00.631396	1780431300.631396;2026-06-02	15:15:01.635369	1780431301.635369;00:00:01;00:00:03;10;9.97009;9.95355;0;0;10;30;30;0;11;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:005000;00:00:00:002000;00:00:00:002000;00:00:00:012000;00:00:00:013000;00:00:00:003000;00:00:00:003000;;28;2;0;0;0;0;0;0;0;;6;24;0;0;0;0;0;0;0;
2026-06-02	15:14:58.620739	1780431298.620739;2026-06-02	15:15:01.635432	1780431301.635432;2026-06-02	15:15:02.636640	1780431302.636640;00:00:01;00:00:04;10;9.99001;9.96264;0;0;10;40;40;1;9;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:008000;00:00:00:006000;00:00:00:003000;00:00:00:002000;00:00:00:013000;00:00:00:013000;00:00:00:002000;00:00:00:003000;;37;3;0;0;0;0;0;0;0;;6;33;0;0;0;0;0;0;0;
2026-06-02	15:14:58.620739	1780431298.620739;2026-06-02	15:15:02.636766	1780431302.636766;2026-06-02	15:15:03.643964	1780431303.643964;00:00:01;00:00:05;10;9.93049;9.95421;0;0;10;50;50;0;11;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:006000;00:00:00:006000;00:00:00:002000;00:00:00:002000;00:00:00:013000;00:00:00:013000;00:00:00:002000;00:00:00:003000;;47;3;0;0;0;0;0;0;0;;7;43;0;0;0;0;0;0;0;
2026-06-02	15:14:58.620739	1780431298.620739;2026-06-02	15:15:03.644034	1780431303.644034;2026-06-02	15:15:04.651099	1780431304.651099;00:00:01;00:00:06;10;9.93049;9.95025;0;0;10;60;60;0;10;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:006000;00:00:00:006000;00:00:00:002000;00:00:00:002000;00:00:00:012000;00:00:00:013000;00:00:00:003000;00:00:00:003000;;57;3;0;0;0;0;0;0;0;;10;50;0;0;0;0;0;0;0;
2026-06-02	15:14:58.620739	1780431298.620739;2026-06-02	15:15:04.651188	1780431304.651188;2026-06-02	15:15:05.656611	1780431305.656611;00:00:01;00:00:07;10;9.95025;9.95025;0;0;10;70;70;0;10;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:006000;00:00:00:002000;00:00:00:002000;00:00:00:013000;00:00:00:013000;00:00:00:002000;00:00:00:003000;;67;3;0;0;0;0;0;0;0;;11;59;0;0;0;0;0;0;0;
2026-06-02	15:14:58.620739	1780431298.620739;2026-06-02	15:15:05.656666	1780431305.656666;2026-06-02	15:15:06.666481	1780431306.666481;00:00:01;00:00:08;10;9.9108;9.94407;0;0;10;80;80;1;9;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:006000;00:00:00:002000;00:00:00:002000;00:00:00:012000;00:00:00:013000;00:00:00:002000;00:00:00:002000;;76;3;0;0;0;0;0;0;0;;12;67;0;0;0;0;0;0;0;
2026-06-02	15:14:58.620739	1780431298.620739;2026-06-02	15:15:06.666613	1780431306.666613;2026-06-02	15:15:07.671456	1780431307.671456;00:00:01;00:00:09;10;9.96016;9.94475;0;0;10;90;90;0;11;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:007000;00:00:00:006000;00:00:00:002000;00:00:00:002000;00:00:00:014000;00:00:00:013000;00:00:00:003000;00:00:00:003000;;86;4;0;0;0;0;0;0;0;;12;78;0;0;0;0;0;0;0;
