StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);FailedTestDoesntMatch(P);FailedTestDoesntMatch(C);FailedTestShouldntMatch(P);FailedTestShouldntMatch(C);FailedStrcmpDoesntMatch(P);FailedStrcmpDoesntMatch(C);FailedStrcmpShouldntMatch(P);FailedStrcmpShouldntMatch(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;ResponseTimeRepartition1_<10;ResponseTimeRepartition1_<20;ResponseTimeRepartition1_<50;ResponseTimeRepartition1_<100;ResponseTimeRepartition1_<200;ResponseTimeRepartition1_<500;ResponseTimeRepartition1_<1000;ResponseTimeRepartition1_<2000;ResponseTimeRepartition1_>=2000;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_<5000;CallLengthRepartition_<10000;CallLengthRepartition_<30000;CallLengthRepartition_>=30000;
2026-06-02	17:49:50.957609	1780440590.957609;2026-06-02	17:49:50.957609	1780440590.957609;2026-06-02	17:49:50.959295	1780440590.959295;00:00:00;00:00:00;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;
2026-06-02	17:49:50.957609	1780440590.957609;2026-06-02	17:49:50.959446	1780440590.959446;2026-06-02	17:49:51.963743	1780440591.963743;00:00:01;00:00:01;100;98.6056;98.4095;0;0;99;99;99;0;99;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:003000;00:00:00:003000;00:00:00:002000;00:00:00:002000;00:00:00:011000;00:00:00:011000;00:00:00:003000;00:00:00:003000;;99;0;0;0;0;0;0;0;0;;35;64;0;0;0;0;0;0;0;
2026-06-02	17:49:50.957609	1780440590.957609;2026-06-02	17:49:51.963810	1780440591.963810;2026-06-02	17:49:52.967238	1780440592.967238;00:00:01;00:00:02;100;100.698;99.552;0;0;101;200;200;1;100;199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:004000;00:00:00:004000;00:00:00:002000;00:00:00:002000;00:00:00:010000;00:00:00:010000;00:00:00:003000;00:00:00:003000;;199;1;0;0;0;0;0;0;0;;75;124;0;0;0;0;0;0;0;
2026-06-02	17:49:50.957609	1780440590.957609;2026-06-02	17:49:52.967307	1780440592.967307;2026-06-02	17:49:53.974319	1780440593.974319;00:00:01;00:00:03;100;99.3049;99.4695;0;0;100;300;300;1;100;299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:004000;00:00:00:004000;00:00:00:002000;00:00:00:002000;00:00:00:011000;00:00:00:011000;00:00:00:003000;00:00:00:003000;;299;1;0;0;0;0;0;0;0;;114;185;0;0;0;0;0;0;0;
2026-06-02	17:49:50.957609	1780440590.957609;2026-06-02	17:49:53.974390	1780440593.974390;2026-06-02	17:49:54.981021	1780440594.981021;00:00:01;00:00:04;100;100.398;99.6769;0;0;101;401;401;1;101;400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:003000;00:00:00:004000;00:00:00:002000;00:00:00:002000;00:00:00:011000;00:00:00:011000;00:00:00:003000;00:00:00:003000;;398;3;0;0;0;0;0;0;0;;145;255;0;0;0;0;0;0;0;
2026-06-02	17:49:50.957609	1780440590.957609;2026-06-02	17:49:54.981142	1780440594.981142;2026-06-02	17:49:55.987916	1780440595.987916;00:00:01;00:00:05;100;100.398;99.8012;0;0;101;502;502;1;101;501;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:004000;00:00:00:004000;00:00:00:002000;00:00:00:002000;00:00:00:011000;00:00:00:011000;00:00:00:003000;00:00:00:003000;;496;5;0;0;0;0;0;0;0;;183;318;0;0;0;0;0;0;0;
2026-06-02	17:49:50.957609	1780440590.957609;2026-06-02	17:49:55.987986	1780440595.987986;2026-06-02	17:49:56.994014	1780440596.994014;00:00:01;00:00:06;100;99.4036;99.7349;0;0;100;602;602;1;100;601;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:004000;00:00:00:004000;00:00:00:002000;00:00:00:002000;00:00:00:011000;00:00:00:011000;00:00:00:003000;00:00:00:003000;;597;5;0;0;0;0;0;0;0;;215;386;0;0;0;0;0;0;0;
2026-06-02	17:49:50.957609	1780440590.957609;2026-06-02	17:49:56.994125	1780440596.994125;2026-06-02	17:49:57.999580	1780440597.999580;00:00:01;00:00:07;100;100.498;99.8438;0;0;101;703;703;1;101;702;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:004000;00:00:00:004000;00:00:00:002000;00:00:00:002000;00:00:00:010000;00:00:00:011000;00:00:00:003000;00:00:00:003000;;696;6;0;0;0;0;0;0;0;;255;447;0;0;0;0;0;0;0;
2026-06-02	17:49:50.957609	1780440590.957609;2026-06-02	17:49:57.999636	1780440597.999636;2026-06-02	17:49:59.003340	1780440599.003340;00:00:01;00:00:08;100;99.7009;99.8135;0;0;100;803;803;0;101;803;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:004000;00:00:00:004000;00:00:00:002000;00:00:00:002000;00:00:00:011000;00:00:00:011000;00:00:00:003000;00:00:00:003000;;797;6;0;0;0;0;0;0;0;;288;515;0;0;0;0;0;0;0;
2026-06-02	17:49:50.957609	1780440590.957609;2026-06-02	17:49:59.003409	1780440599.003409;2026-06-02	17:50:00.004231	1780440600.004231;00:00:01;00:00:09;100;101;99.9337;0;0;101;904;904;2;99;902;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:004000;00:00:00:004000;00:00:00:002000;00:00:00:002000;00:00:00:010000;00:00:00:011000;00:00:00:003000;00:00:00:003000;;897;6;0;0;0;0;0;0;0;;327;575;0;0;0;0;0;0;0;
